Warwick 81: balanced orders and products, 2 products per order
 0 1 0 0 1 0 0 0 0 0
 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 0 1 0 0 0 0 0 1 0

Warwick 87: balanced orders and products, 2 products per order
10 10
 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 1 0 0 1
 0 0 0 1 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 1 0 0 1 0 0
 1 0 1 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 1 0 0 1 0 0 0 0 0 0

Warwick 88: balanced orders and products, 2 products per order
10 10
 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 1
 0 1 0 0 1 0 0 0 0 0
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 1 1 0 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 1 0

Warwick 89: balanced orders and products, 2 products per order
10 10
 1 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 0 1 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 1 0 0 0 1 0
 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 0 1 0 0 0 0
 0 0 0 0 1 0 1 0 0 0

Warwick 90: balanced orders and products, 2 products per order
10 10
 0 0 0 0 1 0 0 0 1 0
 0 1 1 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 1 0 0 0 1
 0 0 0 0 0 0 0 1 0 1
 1 0 1 0 0 0 0 0 0 0
 0 0 0 1 1 0 0 0 0 0
 0 0 0 0 0 0 0 1 1 0

Warwick 91: balanced orders and products, 3 products per order
10 10
 1 0 0 0 0 1 0 0 1 0
 0 1 0 0 0 0 0 1 1 0
 1 1 0 0 0 0 0 1 0 0
 0 0 1 1 0 0 0 0 0 1
 0 1 0 0 1 1 0 0 0 0
 0 0 0 0 0 0 1 1 0 1
 0 0 1 1 0 0 1 0 0 0
 0 0 1 0 1 0 0 0 0 1
 0 0 0 1 0 0 1 0 1 0
 1 0 0 0 1 1 0 0 0 0

Warwick 92: balanced orders and products, 3 products per order
10 10
 0 0 1 0 0 0 0 1 0 1
 0 0 0 0 1 1 0 1 0 0
 0 1 0 1 0 0 0 0 1 0
 0 0 1 0 0 0 0 1 0 1
 1 0 0 0 1 0 1 0 0 0
 0 0 0 1 0 0 1 0 1 0
 0 0 1 0 0 1 0 0 1 0
 1 1 0 0 1 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 1
 1 0 0 1 0 0 1 0 0 0

Warwick 93: balanced orders and products, 3 products per order
10 10
 1 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 1
 0 1 0 0 0 1 0 0 1 0
 0 0 0 0 0 1 0 1 1 0
 0 0 0 0 0 0 1 1 0 1
 1 0 0 1 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 1 0
 0 1 1 1 0 0 0 0 0 0
 0 0 1 0 1 1 0 0 0 0
 1 1 0 0 1 0 0 0 0 0

Warwick 94: balanced orders and products, 3 products per order
10 10
 1 1 0 0 1 0 0 0 0 0
 0 1 0 0 0 1 1 0 0 0
 0 0 0 1 0 0 0 1 0 1
 1 1 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 1 0 1
 0 0 1 0 0 0 1 0 1 0
 0 0 0 1 0 1 1 0 0 0
 0 0 1 0 1 0 0 1 0 0
 0 0 0 1 0 1 0 0 0 1
 1 0 0 0 1 0 0 0 1 0

Warwick 95: balanced orders and products, 3 products per order
10 10
 0 0 0 1 0 0 1 0 0 1
 0 1 0 1 0 0 0 0 1 0
 0 0 0 0 0 1 0 1 0 1
 1 0 0 0 1 0 0 1 0 0
 0 0 1 0 1 1 0 0 0 0
 0 0 0 0 1 0 1 0 0 1
 1 0 0 0 0 0 1 0 1 0
 0 1 1 0 0 0 0 1 0 0
 1 1 0 1 0 0 0 0 0 0
 0 0 1 0 0 1 0 0 1 0

Warwick 96: balanced orders and products, 3 products per order
10 10
 1 0 0 0 0 0 1 0 0 1
 0 0 0 0 1 1 0 0 1 0
 1 1 0 0 0 0 0 0 0 1
 0 0 0 1 0 0 0 1 1 0
 0 1 0 0 1 0 1 0 0 0
 1 0 1 0 0 0 0 0 1 0
 0 1 0 0 0 0 0 1 0 1
 0 0 1 1 1 0 0 0 0 0
 0 0 1 0 0 1 0 1 0 0
 0 0 0 1 0 1 1 0 0 0

Warwick 97: balanced orders and products, 3 products per order
10 10
 0 1 1 1 0 0 0 0 0 0
 1 0 0 0 0 1 1 0 0 0
 1 0 0 0 1 0 0 0 0 1
 0 1 0 0 1 0 1 0 0 0
 0 1 0 0 0 0 0 1 1 0
 0 0 1 0 1 1 0 0 0 0
 0 0 0 0 0 1 0 1 1 0
 1 0 0 1 0 0 0 0 1 0
 0 0 0 1 0 0 0 1 0 1
 0 0 1 0 0 0 1 0 0 1

Warwick 98: balanced orders and products, 3 products per order
10 10
 1 1 0 0 0 0 0 0 1 0
 0 0 0 0 1 0 0 1 1 0
 0 1 0 0 1 0 0 0 0 1
 0 0 0 1 0 0 1 0 1 0
 1 0 1 0 0 1 0 0 0 0
 0 0 1 1 0 1 0 0 0 0
 0 1 0 0 0 0 1 0 0 1
 0 0 0 1 1 0 1 0 0 0
 0 0 0 0 0 1 0 1 0 1
 1 0 1 0 0 0 0 1 0 0

Warwick 99: balanced orders and products, 3 products per order
10 10
 0 0 0 0 0 1 1 0 0 1
 1 0 1 0 0 0 0 0 1 0
 0 1 0 1 0 0 0 1 0 0
 0 0 0 1 0 0 1 0 0 1
 0 0 0 0 1 1 0 1 0 0
 1 0 0 0 0 0 1 0 0 1
 0 0 1 0 1 0 0 0 1 0
 0 1 0 1 0 0 0 0 1 0
 0 1 0 0 0 1 0 1 0 0
 1 0 1 0 1 0 0 0 0 0

Warwick 100: balanced orders and products, 3 products per order
10 10
 0 0 0 0 1 0 0 0 1 1
 1 0 0 0 0 1 1 0 0 0
 0 0 1 0 0 0 1 1 0 0
 1 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 1 1 0 0 1
 0 1 1 0 0 0 0 0 0 1
 1 1 0 0 0 0 0 1 0 0
 0 0 1 1 1 0 0 0 0 0
 0 0 0 1 1 0 0 0 1 0
 0 0 0 0 0 1 0 1 1 0

Warwick 101: balanced orders and products, 4 products per order
10 10
 0 0 0 0 0 0 1 1 1 1
 0 1 1 1 0 0 0 0 0 1
 0 0 1 0 0 0 0 1 1 1
 0 0 0 1 1 1 0 1 0 0
 0 1 0 0 0 1 1 0 1 0
 1 1 0 0 1 0 0 0 0 1
 1 0 1 0 0 1 1 0 0 0
 1 0 0 1 1 0 0 1 0 0
 1 1 1 0 0 0 0 0 1 0
 0 0 0 1 1 1 1 0 0 0

Warwick 102: balanced orders and products, 4 products per order
10 10
 0 1 1 0 0 0 0 1 0 1
 1 0 0 0 0 1 1 0 0 1
 1 1 1 0 0 0 1 0 0 0
 0 0 0 1 1 1 0 0 1 0
 0 0 1 0 1 0 0 1 1 0
 0 1 0 1 0 0 1 1 0 0
 0 0 0 0 0 1 1 1 0 1
 1 0 0 1 1 0 0 0 1 0
 0 1 1 0 1 0 0 0 0 1
 1 0 0 1 0 1 0 0 1 0

Warwick 103: balanced orders and products, 4 products per order
10 10
 1 0 0 0 1 0 0 1 1 0
 0 0 1 0 0 1 1 0 1 0
 1 1 1 0 0 0 0 0 1 0
 0 1 0 1 0 0 1 1 0 0
 0 0 0 1 1 1 0 0 0 1
 1 0 0 1 0 0 0 1 1 0
 0 0 0 1 0 1 1 0 0 1
 0 1 0 0 1 0 1 0 0 1
 0 0 1 0 1 0 0 1 0 1
 1 1 1 0 0 1 0 0 0 0

Warwick 104: balanced orders and products, 4 products per order
10 10
 0 0 0 1 1 0 0 1 1 0
 0 0 1 0 1 1 0 0 1 0
 1 0 1 1 0 0 0 0 0 1
 0 1 0 1 1 0 0 0 0 1
 1 0 1 0 1 1 0 0 0 0
 1 1 0 0 0 0 1 0 1 0
 0 1 0 0 0 0 1 1 0 1
 0 1 0 1 0 1 1 0 0 0
 1 0 0 0 0 1 0 1 0 1
 0 0 1 0 0 0 1 1 1 0

Warwick 105: balanced orders and products, 4 products per order
10 10
 0 1 0 1 0 1 0 0 1 0
 1 0 1 0 0 0 0 0 1 1
 1 1 0 1 0 1 0 0 0 0
 0 1 1 0 1 0 0 0 0 1
 1 0 0 1 0 0 1 1 0 0
 1 0 0 0 0 1 1 0 0 1
 0 0 0 1 1 0 0 1 0 1
 0 0 1 0 1 1 0 0 1 0
 0 0 1 0 0 0 1 1 1 0
 0 1 0 0 1 0 1 1 0 0

Warwick 106: balanced orders and products, 4 products per order
10 10
 0 0 0 0 0 1 0 1 1 1
 0 0 1 0 0 1 1 0 1 0
 0 1 1 0 1 1 0 0 0 0
 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 1 0 0 0 1 1
 0 0 1 1 0 0 0 1 0 1
 1 0 1 1 1 0 0 0 0 0
 1 1 0 1 0 0 1 0 0 0
 0 0 0 0 0 1 1 1 1 0
 0 1 0 1 1 0 1 0 0 0

Warwick 107: balanced orders and products, 4 products per order
10 10
 0 1 1 0 0 1 0 1 0 0
 1 1 0 1 0 0 1 0 0 0
 1 0 0 0 0 1 1 0 1 0
 0 0 1 1 1 0 0 0 0 1
 0 1 0 1 0 0 0 0 1 1
 0 0 0 0 1 1 1 0 1 0
 1 0 1 0 0 0 0 1 0 1
 0 1 0 1 0 0 1 1 0 0
 0 0 1 0 1 0 0 0 1 1
 1 0 0 0 1 1 0 1 0 0

Warwick 108: balanced orders and products, 4 products per order
10 10
 1 0 0 1 0 0 0 1 0 1
 0 1 0 0 1 0 0 1 1 0
 0 0 0 1 1 0 1 0 1 0
 0 0 1 0 0 1 1 0 1 0
 1 1 0 0 0 0 1 1 0 0
 1 0 1 0 0 1 0 0 0 1
 0 1 1 1 0 0 0 0 0 1
 0 0 0 0 1 0 1 0 1 1
 1 0 0 1 0 1 0 1 0 0
 0 1 1 0 1 1 0 0 0 0

Warwick 109: balanced orders and products, 4 products per order
10 10
 0 1 0 0 1 1 1 0 0 0
 1 1 0 0 1 0 1 0 0 0
 0 0 0 0 1 0 0 1 1 1
 0 0 1 1 0 0 1 0 0 1
 0 1 1 0 0 0 1 1 0 0
 0 1 0 0 0 1 0 0 1 1
 1 0 1 1 0 0 0 0 1 0
 1 0 0 0 0 1 0 1 1 0
 1 0 1 1 0 1 0 0 0 0
 0 0 0 1 1 0 0 1 0 1

Warwick 110: balanced orders and products, 4 products per order
10 10
 0 0 0 0 1 0 0 1 1 1
 0 1 1 0 0 1 0 0 0 1
 0 1 1 0 0 0 1 0 1 0
 1 0 1 0 1 1 0 0 0 0
 1 0 0 1 1 0 0 1 0 0
 1 0 1 0 0 1 0 0 1 0
 0 1 0 1 1 0 0 0 0 1
 0 0 0 1 0 0 1 0 1 1
 0 0 0 1 0 1 1 1 0 0
 1 1 0 0 0 0 1 1 0 0

Warwick 111: balanced orders and products, 5 products per order
10 10
 1 0 1 0 0 1 0 1 1 0
 1 0 0 0 1 0 0 1 1 1
 1 1 1 0 0 1 1 0 0 0
 0 1 0 1 1 0 0 0 1 1
 1 0 0 1 1 0 1 1 0 0
 0 1 1 0 0 1 1 0 0 1
 0 0 1 1 0 1 1 1 0 0
 0 0 1 1 0 0 0 1 1 1
 1 1 0 1 1 1 0 0 0 0
 0 1 0 0 1 0 1 0 1 1

Warwick 112: balanced orders and products, 5 products per order
10 10
 1 1 1 0 1 0 0 1 0 0
 0 0 1 1 1 1 1 0 0 0
 0 1 1 0 0 1 0 1 1 0
 0 0 1 1 0 1 1 0 0 1
 1 1 0 0 1 1 0 0 0 1
 1 0 1 0 0 1 1 0 1 0
 0 0 0 1 1 0 1 1 0 1
 0 1 0 1 1 0 1 0 1 0
 1 0 0 1 0 0 0 1 1 1
 1 1 0 0 0 0 0 1 1 1

Warwick 113: balanced orders and products, 5 products per order
10 10
 0 0 0 0 1 1 1 1 1 0
 1 0 1 0 1 0 0 1 0 1
 0 1 1 1 0 1 1 0 0 0
 1 1 0 0 1 0 0 0 1 1
 0 1 1 1 0 1 1 0 0 0
 0 1 0 0 1 0 0 1 1 1
 1 0 0 0 0 1 0 1 1 1
 0 1 0 1 0 1 1 1 0 0
 1 0 1 1 0 0 0 0 1 1
 1 0 1 1 1 0 1 0 0 0

Warwick 114: balanced orders and products, 5 products per order
10 10
 0 1 0 0 1 1 0 0 1 1
 1 0 1 1 0 0 1 0 1 0
 1 1 0 0 0 1 0 1 1 0
 0 0 1 0 1 1 1 0 1 0
 1 1 0 0 1 0 0 1 0 1
 0 0 1 1 0 1 1 0 0 1
 1 1 0 0 1 0 1 1 0 0
 0 0 1 1 0 0 1 1 0 1
 0 1 0 1 1 1 0 0 1 0
 1 0 1 1 0 0 0 1 0 1

Warwick 115: balanced orders and products, 5 products per order
10 10
 1 0 0 0 1 0 1 0 1 1
 1 0 1 0 0 1 0 1 0 1
 0 1 0 0 0 1 1 1 0 1
 0 1 0 1 0 1 1 0 1 0
 1 0 1 0 1 0 0 1 1 0
 1 1 0 1 0 0 0 0 1 1
 0 0 1 1 1 1 0 1 0 0
 0 1 1 1 1 0 1 0 0 0
 0 0 1 0 1 1 1 0 1 0
 1 1 0 1 0 0 0 1 0 1

Warwick 116: balanced orders and products, 5 products per order
10 10
 0 0 1 1 1 0 0 1 1 0
 1 0 0 1 0 1 1 0 0 1
 0 0 1 1 0 1 0 0 1 1
 0 1 0 0 1 0 1 1 1 0
 1 1 0 1 1 0 1 0 0 0
 1 0 1 0 0 1 0 1 0 1
 1 1 0 0 0 1 1 0 0 1
 0 0 1 1 1 0 0 1 0 1
 0 1 1 0 1 0 0 1 1 0
 1 1 0 0 0 1 1 0 1 0

Warwick 117: balanced orders and products, 5 products per order
10 10
 0 0 1 0 1 1 0 0 1 1
 1 1 1 0 0 0 1 0 0 1
 0 0 0 1 1 0 1 1 0 1
 0 1 1 1 0 0 1 1 0 0
 0 1 0 1 0 1 0 1 1 0
 1 1 1 0 1 0 0 0 1 0
 1 0 0 0 1 1 0 0 1 1
 1 0 0 1 0 1 1 0 1 0
 1 0 1 1 1 0 0 1 0 0
 0 1 0 0 0 1 1 1 0 1

Warwick 118: balanced orders and products, 5 products per order
10 10
 0 1 1 1 0 0 0 0 1 1
 0 1 0 1 1 1 1 0 0 0
 1 0 1 0 0 0 1 1 0 1
 0 1 0 0 0 0 1 1 1 1
 1 0 1 0 0 0 1 1 0 1
 1 0 0 1 1 0 0 1 1 0
 1 0 0 1 1 1 0 1 0 0
 0 1 0 0 0 1 1 0 1 1
 1 0 1 0 1 1 0 0 1 0
 0 1 1 1 1 1 0 0 0 0

Warwick 119: balanced orders and products, 5 products per order
10 10
 0 0 0 1 1 0 1 0 1 1
 0 0 1 1 1 1 0 0 0 1
 0 1 1 1 0 0 1 1 0 0
 1 1 1 0 0 0 1 0 0 1
 1 1 0 0 1 0 0 1 0 1
 0 1 1 0 0 1 1 0 1 0
 1 1 1 1 0 1 0 0 0 0
 0 0 0 0 1 1 1 1 1 0
 1 0 0 0 1 1 0 1 1 0
 1 0 0 1 0 0 0 1 1 1

Warwick 120: balanced orders and products, 5 products per order
10 10
 0 0 1 0 0 0 1 1 1 1
 0 1 1 1 0 1 1 0 0 0
 1 1 0 0 1 0 0 1 1 0
 1 0 0 0 1 1 0 0 1 1
 0 1 1 0 0 0 1 1 0 1
 0 0 1 1 0 1 1 0 1 0
 1 0 1 1 0 0 0 1 0 1
 1 0 0 0 1 1 1 0 0 1
 1 1 0 1 1 0 0 0 1 0
 0 1 0 1 1 1 0 1 0 0

