Warwick 1431: balanced orders and products, 2 products per order
 0 0 1 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 1 1 0
 1 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 1 0
 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 1 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 1 0 0 0 1
 0 0 1 0 1 0 0 0 0 0
 0 0 0 1 1 0 0 0 0 0
 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 1 0 0 0 0 0
 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 1
 1 0 0 1 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 1 0 0 0 1 0 0
 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 0 0 0
 1 0 0 0 0 1 0 0 0 0

Warwick 1435: balanced orders and products, 2 products per order
30 10
 1 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 1 0 0 0
 0 0 0 1 0 0 1 0 0 0
 1 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 1 0 0 1 0
 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 0 0 1 0 0
 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 1 0 0 1 0 0
 0 0 1 0 1 0 0 0 0 0
 0 0 1 0 0 1 0 0 0 0
 0 0 1 1 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 1 0 0 0 1
 1 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 0
 0 0 1 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 1 0 0 1 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 1 0 0 0 0 0 0 1 0

Warwick 1436: balanced orders and products, 2 products per order
30 10
 0 0 0 1 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 0 1 0 0
 0 0 0 1 0 0 0 1 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 1 0 0 0 1
 0 1 1 0 0 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 1
 1 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 1 0 0
 0 0 0 0 1 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 1 0 1 0 0 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 1 0 0 0 1 0 0
 1 0 1 0 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 1 0 0 0 0 0 1 0 0 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 1 0 1
 1 0 1 0 0 0 0 0 0 0
 0 1 0 0 0 0 1 0 0 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 1 0 0
 0 0 0 0 0 1 1 0 0 0

Warwick 1437: balanced orders and products, 2 products per order
30 10
 0 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 0 0 1 1
 1 0 0 0 1 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 0 0 1
 1 0 0 1 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 1 1 0
 0 0 1 1 0 0 0 0 0 0
 0 0 1 0 0 0 1 0 0 0
 0 1 0 0 0 1 0 0 0 0
 0 0 0 0 1 0 1 0 0 0
 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 1 0 1 0 0
 0 1 0 0 0 0 0 0 1 0
 1 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 1 0
 1 0 0 0 0 1 0 0 0 0
 0 1 0 0 1 0 0 0 0 0
 0 0 0 0 0 1 0 1 0 0
 0 0 0 1 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 0
 0 0 1 0 1 0 0 0 0 0

Warwick 1438: balanced orders and products, 2 products per order
30 10
 1 0 0 0 0 0 0 0 1 0
 1 1 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 1 1 0 0 0
 0 0 0 1 0 0 0 0 0 1
 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 1 0 1 0 0
 0 1 0 1 0 0 0 0 0 0
 0 0 1 0 1 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 0 0 0 0
 0 0 1 0 1 0 0 0 0 0
 0 0 1 0 1 0 0 0 0 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 1 0 0 0 0 1
 0 1 0 0 1 0 0 0 0 0
 0 0 0 1 1 0 0 0 0 0
 1 0 0 0 0 0 1 0 0 0
 0 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 0 1 0 0 0
 0 0 0 0 0 1 0 0 1 0
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 1 0 1 0 0
 0 0 1 0 0 0 0 0 0 1
 0 0 1 0 0 0 1 0 0 0
 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 1 1 0
 1 0 0 1 0 0 0 0 0 0

Warwick 1439: balanced orders and products, 2 products per order
30 10
 1 0 0 0 0 0 0 0 1 0
 1 0 0 0 0 1 0 0 0 0
 0 0 0 1 0 0 0 1 0 0
 0 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 0 1 0 1
 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 1 0 0 0 1 0
 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 0 1 0 0 0 0
 1 0 0 0 1 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 0 0 0 0 1
 1 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 1 0 0 0 1 0
 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 1 0 0
 0 0 1 0 1 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1
 0 1 0 1 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 1
 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 0 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 1
 0 1 1 0 0 0 0 0 0 0
 0 0 0 1 1 0 0 0 0 0

Warwick 1440: balanced orders and products, 2 products per order
30 10
 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 0 0 0 1 0
 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 0
 0 0 1 0 0 1 0 0 0 0
 0 0 0 0 0 0 1 0 0 1
 0 0 0 0 0 0 1 1 0 0
 0 0 0 1 0 1 0 0 0 0
 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 1 0 0
 1 0 0 0 0 0 0 0 1 0
 0 1 0 1 0 0 0 0 0 0
 1 0 0 0 0 1 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 0 1 0 0 0 1 0 0 0
 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 0 0 0 0 1 1
 0 1 0 0 1 0 0 0 0 0
 1 0 0 0 0 1 0 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 1 0 0 1 0 0 0 0
 0 0 0 1 1 0 0 0 0 0
 0 0 0 0 1 0 0 1 0 0
 0 0 0 0 1 0 0 0 1 0
 1 0 0 0 0 0 0 1 0 0
 0 0 0 1 0 0 0 1 0 0
 1 0 1 0 0 0 0 0 0 0

Warwick 1441: balanced orders and products, 3 products per order
30 10
 0 0 0 1 0 0 1 0 1 0
 0 1 0 0 0 0 1 0 0 1
 0 0 0 0 1 1 0 0 0 1
 0 0 0 0 1 1 0 0 1 0
 0 0 0 0 1 1 0 1 0 0
 0 1 0 0 1 0 0 0 0 1
 1 0 0 0 1 0 0 0 0 1
 0 1 1 1 0 0 0 0 0 0
 0 1 1 0 0 0 0 1 0 0
 0 0 0 1 0 0 1 0 0 1
 0 0 1 1 0 0 0 0 1 0
 1 0 1 0 0 0 0 1 0 0
 0 0 0 1 0 1 0 0 0 1
 1 0 0 1 0 0 0 1 0 0
 0 1 0 0 1 0 0 0 0 1
 1 0 0 0 1 0 1 0 0 0
 0 1 1 0 0 0 0 1 0 0
 1 0 0 0 0 1 1 0 0 0
 0 0 1 0 0 1 0 0 1 0
 0 0 0 1 0 0 1 0 1 0
 1 0 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 0 1 1
 1 0 0 0 1 0 0 0 1 0
 0 0 1 0 0 0 0 1 1 0
 0 1 0 0 0 0 1 1 0 0
 0 1 0 0 0 0 0 1 1 0
 0 0 1 1 0 1 0 0 0 0
 1 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 1 1 1 0 0
 0 1 1 1 0 0 0 0 0 0

Warwick 1442: balanced orders and products, 3 products per order
30 10
 0 1 1 1 0 0 0 0 0 0
 1 0 0 0 0 0 1 0 1 0
 0 0 1 0 0 1 0 0 0 1
 0 1 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 1 0 1
 0 1 0 0 0 1 0 0 0 1
 0 1 0 0 0 0 0 1 1 0
 0 0 0 1 0 1 1 0 0 0
 0 0 1 0 1 0 0 1 0 0
 0 0 0 1 1 0 0 1 0 0
 1 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 1 0 1 1
 0 0 0 1 1 0 0 1 0 0
 1 0 0 1 0 0 1 0 0 0
 0 1 1 0 0 0 0 0 1 0
 1 0 0 0 1 0 0 0 0 1
 1 1 0 0 1 0 0 0 0 0
 0 0 0 1 1 0 0 1 0 0
 0 0 1 0 1 0 1 0 0 0
 0 0 1 1 0 0 0 1 0 0
 1 0 1 0 0 0 0 0 0 1
 0 1 0 0 0 0 1 0 0 1
 0 0 1 0 1 0 0 0 1 0
 0 1 0 0 0 1 1 0 0 0
 0 0 0 0 1 1 0 1 0 0
 1 0 0 0 0 0 0 0 1 1
 0 0 1 0 0 1 0 1 0 0
 1 0 0 0 0 1 0 0 1 0
 1 0 0 1 0 1 0 0 0 0
 0 1 0 1 0 0 1 0 0 0

Warwick 1443: balanced orders and products, 3 products per order
30 10
 0 0 0 0 0 0 1 1 0 1
 0 0 0 0 0 1 0 1 0 1
 0 0 0 1 0 0 1 1 0 0
 1 0 0 1 1 0 0 0 0 0
 1 1 0 0 0 1 0 0 0 0
 0 0 0 0 0 1 1 0 1 0
 0 0 1 0 1 0 0 1 0 0
 1 0 0 1 1 0 0 0 0 0
 0 0 0 1 0 0 1 0 0 1
 0 0 0 0 1 1 0 0 0 1
 1 1 0 0 0 0 0 1 0 0
 1 1 0 0 0 0 0 0 1 0
 0 0 0 0 1 0 1 0 1 0
 0 1 1 0 0 0 0 0 1 0
 1 1 0 0 1 0 0 0 0 0
 0 0 1 1 0 0 0 0 0 1
 0 1 1 0 0 0 0 0 1 0
 0 0 0 1 0 0 1 0 0 1
 0 1 1 0 0 0 0 0 1 0
 0 0 1 0 0 1 0 1 0 0
 1 0 0 0 1 0 1 0 0 0
 1 0 0 1 0 0 0 1 0 0
 0 0 0 0 0 1 1 0 1 0
 0 0 0 0 0 1 0 1 0 1
 0 0 1 1 0 0 0 0 0 1
 1 1 0 0 0 0 0 0 1 0
 0 0 0 1 1 1 0 0 0 0
 0 0 1 0 0 0 1 1 0 0
 0 1 1 0 1 0 0 0 0 0
 0 0 0 0 0 1 0 0 1 1

Warwick 1444: balanced orders and products, 3 products per order
30 10
 0 0 1 0 0 1 0 0 0 1
 0 1 1 0 0 0 0 0 1 0
 0 0 1 0 0 1 0 0 0 1
 0 0 0 0 1 0 1 1 0 0
 0 1 1 0 0 0 0 1 0 0
 0 0 1 1 0 0 0 1 0 0
 1 0 0 0 0 0 0 1 1 0
 0 0 0 0 1 0 0 0 1 1
 0 1 0 0 0 0 0 1 1 0
 0 1 1 0 1 0 0 0 0 0
 0 0 1 0 0 1 0 0 1 0
 0 0 0 0 0 1 1 0 1 0
 0 0 0 0 1 0 0 1 0 1
 1 0 0 0 1 0 1 0 0 0
 1 0 0 0 0 0 1 0 0 1
 0 1 0 1 0 0 0 0 0 1
 1 1 0 1 0 0 0 0 0 0
 0 0 0 0 1 1 1 0 0 0
 0 0 0 1 1 1 0 0 0 0
 0 0 0 0 1 1 1 0 0 0
 0 1 0 0 0 0 1 1 0 0
 0 0 0 1 0 1 0 0 1 0
 1 0 0 1 0 0 0 0 1 0
 0 1 0 1 0 0 0 0 0 1
 1 0 1 0 0 0 0 1 0 0
 0 1 0 1 0 0 0 0 0 1
 1 0 0 0 0 0 1 1 0 0
 1 0 0 0 0 0 0 0 1 1
 1 0 1 1 0 0 0 0 0 0
 0 0 0 0 1 1 1 0 0 0

Warwick 1445: balanced orders and products, 3 products per order
30 10
 0 0 1 1 0 0 0 0 0 1
 1 0 1 0 0 0 0 0 1 0
 0 1 0 0 1 0 0 1 0 0
 0 1 0 0 0 1 1 0 0 0
 0 1 1 0 1 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 1
 0 1 0 0 0 1 1 0 0 0
 1 1 0 0 0 0 1 0 0 0
 0 1 0 0 0 0 0 0 1 1
 0 0 1 0 1 1 0 0 0 0
 0 1 0 0 0 0 0 1 1 0
 1 0 0 0 0 0 1 1 0 0
 0 0 1 1 0 0 0 1 0 0
 1 1 0 1 0 0 0 0 0 0
 0 0 1 0 1 1 0 0 0 0
 0 0 0 0 0 0 1 1 1 0
 0 0 0 1 0 0 0 1 0 1
 0 0 1 0 1 0 0 1 0 0
 1 1 0 0 0 0 0 0 0 1
 0 0 0 1 1 1 0 0 0 0
 0 0 0 1 1 0 0 0 1 0
 1 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 0 1 0 1 1
 1 0 1 0 0 1 0 0 0 0
 0 0 0 0 0 1 0 0 1 1
 0 0 0 0 1 0 1 1 0 0
 0 0 1 1 0 0 0 0 0 1
 0 0 0 0 0 0 0 1 1 1
 1 0 0 0 0 0 1 0 1 0
 1 0 0 1 0 1 0 0 0 0

Warwick 1446: balanced orders and products, 3 products per order
30 10
 0 0 0 0 0 1 1 0 0 1
 1 0 1 0 0 0 0 1 0 0
 0 0 0 1 0 0 1 0 0 1
 0 0 0 1 0 1 0 0 1 0
 0 1 0 0 1 0 1 0 0 0
 1 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 0 0 1 0 1
 0 0 1 0 1 0 0 0 0 1
 0 1 0 1 0 1 0 0 0 0
 1 0 1 0 0 0 0 0 0 1
 1 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 1 1 1 0
 1 0 1 0 0 0 0 1 0 0
 0 0 0 0 1 0 0 1 0 1
 0 0 0 1 0 1 1 0 0 0
 1 0 0 1 1 0 0 0 0 0
 1 0 0 0 0 1 0 0 0 1
 1 1 0 0 0 0 0 0 0 1
 0 0 1 1 0 1 0 0 0 0
 0 1 0 0 1 0 0 0 1 0
 0 0 0 0 0 1 0 1 1 0
 0 1 1 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 1 1 0
 0 1 0 1 0 0 0 1 0 0
 0 0 0 0 1 0 1 0 1 0
 0 1 1 0 0 0 0 0 1 0
 0 0 1 0 1 0 0 1 0 0
 0 0 0 1 0 1 1 0 0 0
 1 0 0 0 1 0 0 0 0 1
 0 1 0 0 0 0 1 0 1 0

Warwick 1447: balanced orders and products, 3 products per order
30 10
 0 0 0 1 0 1 0 1 0 0
 0 1 1 0 0 0 0 0 1 0
 1 1 0 0 0 0 0 1 0 0
 0 1 0 1 0 1 0 0 0 0
 0 0 0 0 1 0 1 0 0 1
 1 0 0 0 1 1 0 0 0 0
 0 1 0 0 0 0 0 1 1 0
 0 0 1 0 0 0 1 0 0 1
 0 0 1 0 0 0 0 0 1 1
 0 1 0 0 0 0 1 0 1 0
 0 0 0 0 1 0 0 0 1 1
 0 0 0 1 0 0 0 1 1 0
 0 0 0 1 1 0 0 0 1 0
 1 0 1 0 0 1 0 0 0 0
 1 1 0 0 0 0 0 1 0 0
 0 0 0 1 0 0 1 0 0 1
 0 0 0 1 1 1 0 0 0 0
 1 0 0 0 1 0 0 1 0 0
 1 0 0 0 1 0 0 0 0 1
 0 1 1 0 0 0 0 1 0 0
 0 1 0 0 1 0 0 1 0 0
 0 0 1 1 0 0 0 0 0 1
 1 0 0 0 0 1 0 0 0 1
 1 0 0 0 1 1 0 0 0 0
 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1
 0 0 0 0 0 1 1 0 1 0
 1 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 1 1 1 0
 0 0 1 1 0 0 1 0 0 0

Warwick 1448: balanced orders and products, 3 products per order
30 10
 0 0 0 1 0 0 0 0 1 1
 1 0 0 0 0 0 0 1 1 0
 1 0 0 1 1 0 0 0 0 0
 0 1 0 0 0 0 1 1 0 0
 0 1 1 0 0 1 0 0 0 0
 1 1 0 0 0 0 0 1 0 0
 0 0 1 1 0 0 0 0 0 1
 0 0 0 1 1 0 1 0 0 0
 1 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 1 1 0 0 0
 1 1 0 0 0 0 1 0 0 0
 1 0 0 0 0 0 1 0 0 1
 0 1 0 0 0 1 0 1 0 0
 0 0 0 1 0 0 0 1 0 1
 0 0 1 0 0 1 0 0 1 0
 1 0 0 0 1 1 0 0 0 0
 0 0 0 1 0 1 0 0 1 0
 0 0 0 0 1 0 0 0 1 1
 0 0 0 0 1 0 0 0 1 1
 1 0 0 0 0 0 1 1 0 0
 0 0 1 1 0 0 1 0 0 0
 0 0 0 0 0 1 1 1 0 0
 0 1 1 0 0 1 0 0 0 0
 0 0 1 0 1 0 0 0 1 0
 0 0 1 0 0 0 0 1 0 1
 0 1 1 1 0 0 0 0 0 0
 0 0 1 0 1 0 0 0 0 1
 0 1 0 0 0 1 0 0 0 1
 1 0 0 0 1 0 0 0 1 0
 0 0 0 0 1 0 1 1 0 0

Warwick 1449: balanced orders and products, 3 products per order
30 10
 1 0 0 0 1 0 0 0 0 1
 0 1 0 0 0 1 0 1 0 0
 0 0 0 1 1 0 1 0 0 0
 0 0 0 0 0 1 0 1 1 0
 0 0 0 1 1 0 1 0 0 0
 0 1 1 0 0 0 1 0 0 0
 1 1 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 0 1 0
 0 1 0 0 1 1 0 0 0 0
 1 0 1 1 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 0 1 1 1
 0 0 0 1 1 0 1 0 0 0
 0 0 0 0 0 1 1 0 0 1
 1 0 1 1 0 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 1
 0 0 0 1 0 1 0 0 1 0
 0 0 0 1 0 0 1 0 0 1
 0 1 1 0 1 0 0 0 0 0
 0 0 1 0 0 0 0 1 0 1
 0 0 0 0 0 0 1 1 1 0
 0 0 1 0 1 1 0 0 0 0
 1 0 0 0 1 0 0 0 1 0
 1 0 0 1 0 1 0 0 0 0
 1 0 1 0 0 1 0 0 0 0
 0 1 0 0 0 0 0 0 1 1
 0 1 1 0 0 0 0 1 0 0
 0 0 1 0 0 0 0 1 1 0
 0 0 0 1 0 0 0 1 0 1
 1 0 0 0 0 1 1 0 0 0

Warwick 1450: balanced orders and products, 3 products per order
30 10
 0 0 0 1 0 0 1 1 0 0
 0 0 0 0 1 0 0 1 0 1
 1 0 0 0 0 0 0 1 0 1
 0 0 1 0 1 0 1 0 0 0
 0 0 0 0 1 0 0 0 1 1
 0 1 1 0 1 0 0 0 0 0
 1 0 1 0 0 0 0 1 0 0
 0 1 1 0 0 0 0 1 0 0
 1 0 0 1 0 0 0 0 1 0
 1 0 0 0 0 1 0 1 0 0
 0 1 0 0 1 1 0 0 0 0
 0 0 1 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 1 1 1
 1 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 1 1 0 0 0
 1 0 0 0 0 0 0 0 1 1
 1 0 0 1 0 0 0 1 0 0
 0 0 0 1 1 0 0 0 0 1
 0 0 0 0 0 0 0 1 1 1
 0 0 0 1 0 1 0 0 1 0
 0 1 0 0 1 0 1 0 0 0
 0 0 0 1 0 0 1 0 0 1
 0 1 1 0 0 1 0 0 0 0
 0 1 0 0 1 0 1 0 0 0
 0 0 1 0 1 1 0 0 0 0
 1 0 1 0 0 0 0 0 0 1
 0 1 0 0 0 0 1 0 1 0
 1 1 0 0 0 1 0 0 0 0
 0 0 1 0 0 1 1 0 0 0
 0 0 0 1 0 1 1 0 0 0

Warwick 1451: balanced orders and products, 4 products per order
30 10
 0 0 0 0 0 1 1 0 1 1
 0 1 0 0 1 1 0 1 0 0
 0 0 0 0 0 1 1 0 1 1
 1 1 0 1 0 1 0 0 0 0
 0 1 1 0 0 0 1 0 1 0
 1 0 1 1 0 0 0 1 0 0
 1 1 0 0 1 0 0 0 1 0
 0 1 0 1 1 0 0 0 0 1
 0 1 1 0 1 0 1 0 0 0
 0 0 1 1 1 0 0 1 0 0
 0 0 0 0 0 0 1 1 1 1
 0 1 0 0 1 1 0 0 1 0
 1 0 1 0 0 1 0 1 0 0
 1 0 0 0 0 0 0 1 1 1
 1 1 0 0 0 1 1 0 0 0
 1 0 1 0 0 0 1 0 1 0
 1 0 0 0 0 1 1 0 0 1
 1 0 0 1 1 0 0 0 0 1
 1 1 1 0 0 0 0 0 0 1
 0 0 1 0 1 0 0 1 1 0
 0 1 0 1 0 0 0 1 1 0
 1 0 0 1 0 1 1 0 0 0
 1 0 1 1 1 0 0 0 0 0
 0 0 1 1 1 0 0 0 0 1
 0 0 1 0 1 1 0 1 0 0
 0 0 0 1 0 1 1 0 0 1
 0 0 1 0 0 1 0 1 1 0
 0 1 0 1 0 0 0 1 0 1
 0 1 0 0 1 0 1 0 0 1
 0 0 0 1 0 0 1 1 1 0

Warwick 1452: balanced orders and products, 4 products per order
30 10
 1 0 0 1 0 1 0 1 0 0
 0 1 0 0 0 1 1 0 1 0
 0 0 1 1 0 1 1 0 0 0
 1 1 0 1 0 1 0 0 0 0
 0 1 1 0 0 1 0 0 0 1
 0 0 1 0 0 0 1 1 0 1
